title,author,publisher,date,format,contrib_personal,contrib_corporate,location
Elements /,,"The University of Alabama,",2000.,1 folded sheet : col. ill. ;,"Bolick, Nannette. Miller, Steve, 1950- Sampson, Mary Ann. Moxon, Paul.",University of Alabama.,SOUTHERNCV N7433.4 .E446 2000
A primer for Oriental thought /,"Sampson, Mary Ann.","OEOCO (The One-Eye Opera Co.),",199-?],[42] p. : all col. ill. ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 P75 1990z
Landscape /,"Sampson, Mary Ann.","OEOCO (The One-Eye Opera Co.)],",1995.,1 folded sheet : all col. ill. ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 L36 1995
Srebmun /,"Sampson, Mary Ann.","OEOCO (The One-Eye Opera Co.),",1990],[18] p. : all ill. ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 S68 1990
Fish /,"Sampson, Mary Ann.","OEOCO (The One-Eye Opera Co.)],",1989.,[4] p. : all ill. (some col.) ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 F57 1989
Purple dreams /,"Sampson, Mary Ann.","OEOCO (The One-Eye Opera Co.)],",1990.,[60] p. : all col. ill. ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 P87 1990
Betray the invisible /,"Weddle, Jeff,","OEOCO Press,",2010.,[30] p. : col. ill. ;,"Sampson, Mary Ann,","OEOCO Press,Wookey Hole MillMohawk Fine Papers, Inc.,",SOUTHERNCV PS3623 .E39775 B48 2010
Then from all the stones /,"Field, Dorothy, 1944-","OEOCO Press,",[2003],"[52] p. : ill., some col. ;","Sampson, Mary Ann.","OEOCO Press.Mohawk Paper Mills (Cohoes, N.Y.)University of Alabama.",SOUTHERNCV PR9199.4 .F54 T48 2003
Stitching speechless /,"Addiss, Stephen, 1935-","Blue Bluer Books,",2011.,[21] leaves ;,"Hockensmith, Josh.",Blue Bluer Books (Firm),SOUTHERNCV N7433.4 .A335 S75 2011
Googled English frontier deedbook /,"Hockensmith, Josh.","Blue Bluer Books,",2008],[11] leaves ;,,Blue Bluer Books (Firm),SOUTHERNCV N7433.4 .H63 G66 2006
The night has a thousand eyes /,"Bourdillon, Francis William, 1852-1921.","Catbird (On the Yadkin) Press,",c2010.,[11] p. : col. ill. ;,"Schupbach-Gordon, Terry.",Catbird (On the Yadkin) Press.,SOUTHERNCV PR4161 .B3 N54 2010
Everyone sang /,"Sassoon, Siegfried, 1886-1967.","Catbird (on the Yadkin) Press,",2009.,[17] p. : col. ill. ;,"Schupbach-Gordon, Terry. Gordon, Toby.",Catbird (On the Yadkin) Press.,SOUTHERNCV PR6037 .A86 E94 2009
The daily welcome /,"Sharp, Sharon A.","Curious Pursuits Press,",c2010.,[12] p. : col. ill. ;,,Curious Pursuits Press.,SOUTHCV-OV N7433.4 .S43 D35 2010
Los árboles = Bomen /,"Hendrix, Jan, 1949-","Impr. de los Trópicos ;In de Bonnefant,",1999.,"[13] p., [12] leaves of plates : ill. ;","Waarsenburg, Hans van de, 1943- Belacortu, Mariolein Sabarte. Janssen, Philipp.",Imprenta de los Trópicos.Bonnefant (Firm),SEVIER-OV N7433.4 .H463 A73 1999
"Sleepwalking the City of Roses : presented in stereoview, Viewmaster, hautology goggles /","Asztalos, Courtney.","Dark Spring Press :Small Craft Advisory Press,",2010.,[8] p. : chiefly col. ill. ;,,Dark Spring Press.Small Craft Advisory Press.,SOUTHCV-OV N7433.4 .A89 S54 2010
Slipping /,"Schick, Ashley L.","Capybara Press,",c2011.,[32] p. : chiefly col. ill. ;,,Capybara Press.,SOUTHERNCV N7433.4 .S354 S58 2011
Coupled voices /,"Holland, Kyle (Artist)","Kyle Holland,",2010],[8] leaves : col. ill. ;,,Memphis College of Art.,SOUTHERNCV N7433.4 .H655 C68 2010
[Of the cloak] /,"Holland, Kyle (Artist)","K. Holland],",2010.,1 v. (unpaged) : ill. ;,,,SOUTHERNCV N7433.4 .H655 O37 2010
[Unfulfilled expectations /,"Holland, Kyle (Artist)","Kyle Holland],",2010.,[4] p. : ill. ;,,,SOUTHERNCV N7433.4 .H655 U54 2010
Shoo fly /,"Sampson, Mary Ann.","OEOCO Press],",1998.,1 v. (unpaged) : all col. ill. ;,,,SOUTHERNCV N7433.4 .S25 S56 1998
Heart song /,"Sampson, Mary Ann.","OEOCO],",1994.,[32] p. : all col. ill. ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 H43 1994
Change/discovery.,"Sharp, Sharon A.","Curious Pursuits Press,",2010.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 C476 2010
Something done by quiet being /,"Sharp, Sharon A.","Sharon A. Sharp],",c2009.,[48] p. : ill. ;,Laozi.,,SOUTHERNCV N7433.4 .S43 S66 2009
Flowing essence /,"Sharp, Sharon A.","Sharon A. Sharp,",c2005.,[18] p. : ill. (some col.) ;,,,SOUTHERNCV N7433.4 .S43 F59 2005
When in winter /,"DeLong, Jesse,","Curly Head Press,",2011?],[10] pages : color illustrations ;,"Rossow, Sonja Greentree,",Curly Head Press.,SOUTHERNCV PS3604 .E4469 W47 2011
A strawberry in the snow /,"Eisenbeis, Leah Lintner.","Crooked Letter Press,",2007.,57 p. : ill. ;,"Knudson, Ellen.",Crooked Letter Press.,SOUTHERNCV PS3605 .I829 S77 2007
How swimming saved my life /,"Knudson, Ellen.","Crooked Letter Press,",2005.,[12] p. : col. ill. ;,,Crooked Letter Press.,SOUTHERNCV N7433.4 .K6258 H69 2005
"Self-dual : (how to walk a 30,000 mile tightrope) /","Knudson, Ellen.","Crooked Letter Press,",2005.,1 v. (unpaged) : ill. (some col.) ;,,Crooked Letter Press.,SOUTHERNCV N7433.4 .K6258 S45 2005
How to love someone forever /,"Knudson, Kevin.","Crooked Letter Press,",[2004],[25] p. : ill. (some col.) ;,"Knudson, Ellen. Knudson, Kevin.",Crooked Letter Press.,SOUTHERNCV PS3611 .N834 H69 2004 SOUTHERNCV PS3611 .N834 H69 2004 Broadside
How to love someone forever /,"Knudson, Kevin.","Crooked Letter Press,",[2004],[25] p. : ill. (some col.) ;,"Knudson, Ellen. Knudson, Kevin.",Crooked Letter Press.,SOUTHERNCV PS3611 .N834 H69 2004 SOUTHERNCV PS3611 .N834 H69 2004 Broadside
Triumvirate : three sisters and the houses they inhabit /,"Knudson, Ellen.","Crooked Letter Press,",[2004],[4] p. : ill. ;,,Crooked Letter Press.,SOUTHERNCV N7433.4 .K6258 T75 2004
The high road /,"Sawyer, Suzanne.","Down Home Girl Studio,",2011],[23] p. : map ;,,Down Home Girl Studio.,SOUTHERNCV N7433.4 .S298 H54 2011
Vida é um souvenir made in Hong Kong : livro de canções /,"Baleiro, Zeca.","Editora UFG,",[2010?],90 p. : ill. ;,"Mello, Roger.",Universidade Federal de Goiás.,SEVIER-OV N7433.4 .B345 V53 2010
"Matta, una ocasión /",,"Foramen Acus Ediciones,",2011.,"1 sheet : ill. (chiefly col.), facsims., ports. (1 col.) ;","Matta, 1912-2002. Yaconi, Ana María. Fernández, María Isabel.",Foramen Acus Ediciones.,SEVIER N6669 .M38 M388 2011
Letter from Birmingham City Jail /,"King, Martin Luther, Jr., 1929-1968.","Limited Editions Club,",c2007.,"54 p., [8] leaves of plates : col. ill. ;","Vivian, C. T. Ringgold, Faith. Holton, Curlee Raven. Bixler, Michael. Bixler, Winifred.",Limited Editions Club.,XXE185.61 .K534 2007
Feelings using wolves /,"Frey, Emily Kendal.","Small Fires Press,",2010.,[23] p. : col. ill. ;,"Schomburg, Zachary, 1977- Kerksieck, Friedrich.",Small Fires Press.,SOUTHERNCV PS3606 .R4866 F44 2010
Forsaken substructure /,"Holland, Kyle (Artist)","K. Holland],",2010.,[7] leaves : col. ill. ;,,Memphis College of Art.,SOUTHERNCV N7433.4 .H655 F67 2010
Teaching a bird to read /,"Sampson, Mary Ann.","OEOCO],",2004.,1 v. (unpaged) : all col. ill. ;,,OEOCO Press.,SOUTHERNCV N7433.4 .S25 T43 2004
Faulkner suite /,"Walker, Sue Brannan, 1940-","OEOCO Press,",2008.,[37] p. : ill. (some col.) ;,"Doyle, Don Harrison, 1946- Sampson, Mary Ann.",OEOCO Press.,SOUTHCV-OV PS3573 .A4254124 F38 2008
Macaroni and cheese /,"Sampson, Mary Ann.","Duende Press,",1989],1 v. (unpaged) : all col. ill. ;,"Taylor, Terrence A.",Duende Press.,SOUTHERNCV N7433.4 .S25 M33 1989
Animalia /,"Rhodes, Royal W.","Catbird Press,",c2009.,[17] leaves : ill. ;,"Schupbach-Gordon, Terry.",Catbird (On the Yadkin) Press.,SOUTHCV-OV PS3618 .H629 A85 2009
Milagros /,"Rossow, Sonja Greentree.","Curly Head Press,",2010.,[8] p. : col. ill. ;,"MacGregor, Katie.",Curly Head Press.,SOUTHERNCV N7433.4 .R67 M55 2010
"Lugubrious distance : experiencing mourning & loss for North Carolina, almost to an exaggerated degree /","Knudson, Ellen.","Crooked Letter Press,",2010.,1 v. (unpaged) : col. ill. ;,,Crooked Letter Press.,SOUTHERNCV N7433.4 .K6258 L84 2010
Wild girls redux : an operator's manual /,"Knudson, Ellen.","Crooked Letter Press,",2009.,1 v. (unpaged) : ill. (some col.) ;,,Crooked Letter Press.,SOUTHERNCV N7433.4 .K6258 W55 2009
Speak! /,"Wordsworth, William, 1770-1850.","Down Home Girl Studio,",2011],[16] p. : col. ill. ;,"Sawyer, Suzanne.",Down Home Girl Studio.,SOUTHERNCV PR5869 .S7 2011
Lira popular /,,"Animita Cartonera,",2007,"35, [2] p. : ill. ;","Domínguez, Paloma.",Animita Cartonera.,SEVIER PQ8060 .L573 2007
Exit island /,"Witek, Terri, 1952-","Orchises,",2012.,"95 pages, 15 unnumbered pages of plates : illustrations ;","Lopes, Cyriaco. Borezo, Amy.",Orchises Press.,SOUTHERNCV PS3623 .I86 E95 2012b
Outside : six short stories /,"Lopez, Barry Holstun, 1945-","Nawakum Press,",2013.,"99 p., [9] leaves of plates (2 folded) : ill. ;","Moser, Barry. Warren, James Perrin. Larson, Arthur (Printer) Jensen, Craig (Craig William), 1951-",Nawakum Press.,SCIV-MOSER PS3562 .O67 A6 2013
"Oddballs : the remarkable true stories of forty unique, strange, peculiar, extraordinary & generally odd people /","Westergard, Jim, 1939-","Heavenly Monkey,",2011.,96 pages : illustrations ;,"Moser, Barry Milroy, Rollin Cohen, Claudia, 1953-","Heavenly Monkey (Firm)Guarro Casas,Papierfabrik Zerkall Renker & Söhne,",SCIV-MOSER CT105 .W478 2011
Multiple voices : multiple histories : reimagining the Civil War.,,"VCUarts Bowe House Press,",[2009?],9 broadsides : col. & b&w ;,"Mahoney, Jamie.",VCUarts Bowe House Press.,SOUTHCV-OV N7433.4 .M858 2009
Think Hatch.,,"VCUarts Bowe House Press,",2009],[20] leaves (some folded) : col. ill. ;,"Mahoney, Jamie.","VCUarts Bowe House Press.Hatch Show Print (Firm)Country Music Hall of Fame & Museum (Nashville, Tenn.)Virginia Commonwealth University.",SOUTHERNCV N7433.35 .U6 T48 2009
Descendant /,"Brook, Jennifer, 1981-","Tree House Press,",2008],[24] p. ;,,"Tree House Press (New York, N.Y.)",SOUTHERNCV N7433.4 .B76 D47 2008
Faith medicine /,"Weaver, Jamie (Book artist)","Jamie Weaver,",2012],21 cards : col. ill. ;,"Howell, Patricia Kyritsi.",,SOUTHCV-OV N7433.4 .W425 F35 2012
Hello from-- : postcard exchange /,,"Ladies of Letterpress,",2010],[79] cards : ill. (some col.) ;,"Robin, Camille.",Ladies of Letterpress.,SOUTHERNCV N7433.4 .H455 2010
Cairn for my daughter /,"Harris, Lyall F.","Lyall F. Harris],",2008.,1 v. (unpaged) ;,,,SOUTHERNCV N7433.4 .H37 C35 2008
The kudzu chronicles /,"Fennelly, Beth Ann, 1971-","Crown Ring Press,",[2005],[33] p. : col. ill. ;,"Owen, Sara G. H.",Crown Ring Press.,SOUTHERNCV PS3556 .E489 K89 2005
The quilts of Gee's Bend.,"Shattuck, Carolyn.","Shattuck Studio,",2011],1 paper construction : all col. ill. ;,,,SOUTHERNCV N7433.4 .S438 Q55 2011
Double tongue /,"Bell, Madison Smartt.","Blue from the Death Editions,",c1990.,52 p. : ill. (some col.) ;,"La Fontaine, Jean de (Artist)",Blue from the Death Editions.,SOUTHCV-OV PS3552 .E517 D68 1990
Five poems /,"Morrison, Toni.","Rainmaker Editions,",2002.,[27] p. : ill. ;,"Walker, Kara Elizabeth. Koch, Peter Rutledge. Graf, Jace.",Rainmaker Editions.,SOUTHCV-OV PS3563 .O8749 A6 2002
Banished thoughts /,"Ellis, Grace Winn,","[Catbird (on the Yadkin) Press],",[2012],2 unnumbered leaves : color illustration ;,"Schupbach-Gordon, Terry,","Catbird (On the Yadkin) Press,",SOUTHERNCV PS3605 .L4648 B36 2012
Fossil /,"Love, B. J.,","[Small Fires Press],",[2011].,18 unnumbered pages : color illustrations ;,"Kerksieck, Friedrich, Weaver, Cherie,",Small Fires Press.,SOUTHERNCV PS3612 .O8338 F67 2011
Eranos /,"Stevens, Elisabeth.","Goss Press,",c2000.,"[2], 8, [1] leaves, v leaves of plates : ill. ;","Winkler, Betty.",Goss Press.,SOUTHCV-OV PS3569 .T4513 E73 2000
Bent like the river /,"Schupbach-Gordon, Terry.","Catbird Press,",c1994.,[11] p. : col. ill. ;,,Catbird (On the Yadkin) Press.,SOUTHCV-OV N7433.4 .S359 B46 1994
What lies beyond /,"Schupbach-Gordon, Terry.","Catbird (on the Yadkin) Press],",c2012.,1 v. (unpaged) : col. ill. ;,"Hypatia, -415.",Catbird (On the Yadkin) Press.,SOUTHERNCV N7433.4 .S359 W48 2012
Thoughts /,"Schupbach-Gordon, Terry.","Catbird (on the Yadkin) Press],",c2012.,[4] p. : chiefly col. ill. ;,,Catbird (On the Yadkin) Press.,SOUTHERNCV N7433.4 .S359 T49 2012
On the line /,"Johnson, Linda K.","[Women's Studio Workshop],",[1997],"1 box (12 prints on cloth, 12 wooden clothes pins, 1 piece of string, 1 information sheet) ;","Lewis, Kristy.",Women's Studio Workshop.,SOUTHERNCV N7433.4 .J626 O58 1997
The three goals /,"Budbill, David.","Hanne Niederhausen,",2010],1 v. (unpaged) : col. ill. ;,"Niederhausen, Hanne.",,SOUTHERNCV PS3552 .U346 T49 2010
Road stories /,"Niederhausen, Hanne.","H. Niederhausen,",2010],1 v. (unpaged) : chiefly col. ill. ;,,,SOUTHERNCV N7433.4 .N54 R63 2010
Caution /,"Niederhausen, Hanne.","Hanne Niederhausen,",2005],1 v. (unpaged) : col. ill. ;,,,SOUTHERNCV N7433.4 .N54 C38 2005
"Moderation is not a negation of intensity, but helps avoid monotony /","Tagliabue, John, 1923-","H. Niederhausen],",c2007.,1 v. : ill. ;,"Niederhausen, Hanne.",,SOUTHCV-OV PS3539 .A247 M63 2007
Beginnings /,"Niederhausen, Hanne.","H. Niederhausen,",c2004.,[40] p. : ill. (some col.) ;,,,SOUTHCV-OV N7433.4 .N54 B44 2004
[To make you see].,"Sawyer, Suzanne.","Down Home Girl Studio,",2012.,1 sheet : ill. ;,,Down Home Girl Studio.,SOUTHERNCV N7433.4 .S298 T6 2012
Crazy quilts.,"Sharp, Sharon A.","Curious Pursuits Press,",c2012.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 C73 2012
Sirens' songs : livre d'artiste /,"Stevens, Elisabeth.","Goss Press,",c2010.,"vii, 64 leaves, [13] leaves of plates : ill. ;",,Goss Press.,SOUTHCV-OV PS3569 .T4513 S57 2010
5 metros de poemas /,"Oquendo de Amat, Carlos, 1905-1936.","Editorial Universitaria de la Universidad Ricardo Palma,",2007.,1 folded sheet ([25] leaves) ;,,,SEVIER PQ8497 .O5 A615 2007
Found objects /,"Hamrick, Frank, 1977-","Old Fan Press,",[2004],8 unnumbered pages : illustrations ;,,"Old Fan Press,",SOUTHERNCV N7433.4 .H3547 F68 2004
Hidden horizons : ground for growth /,"Sharp, Sharon A.","Curious Pursuits Press,",c2012.,[4] p. : col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 H533 2012
What is the sound of two invisible hands clapping? /,"Sharp, Sharon A.","Curious Pursuits Press,",c2012.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 W48 2012
Mallard /,"DeLong, Jesse.","Curly Head Press,",[2012],8 unnumbered leaves ;,"Rossow, Sonja Greentree,",Curly Head Press.,SOUTHERNCV PS3604 .E4469 M35 2012
Book of hours /,"Rhodes, Royal W.","Catbird (on the Yadkin) Press],",c2012.,[6] leaves : col. ill. ;,"Schupbach-Gordon, Terry.",Catbird (On the Yadkin) Press.,SOUTHERNCV PS3618 .H629 B66 2012
Rules for teachers /,"Niederhausen, Hanne.","Hanne Niederhausen,",2009],[14] p. : col. ill. ;,,,SOUTHERNCV N7433.4 .N54 R85 2009
Going home /,"Weaver, Jamie (Book artist)","Jamie Weaver,",2011],[10] p. : ill. (some col.) ;,,,SOUTHERNCV N7433.4 .W425 G65 2011
[Black lung /,"Weaver, Jamie (Book artist)","Jamie Weaver],",2012.,1 v. (unpaged) : ill. (some col.) ;,,,SOUTHERNCV N7433.4 .W425 B573 2012
Mr. Potatohead in love /,"Bell, Madison Smartt.","Blue from the Death Edition,",c1994.,1 sheet : ill. ;,"La Fontaine, Jean de (Artist)",Blue from the Death Editions.,SOUTHCV-OV PS3552 .E517 M7 1994
The day my keys didn't want to go home /,"Bell, Madison Smartt.","Blue from the Death Production,",[2005],1 folded sheet : col. ill. ;,"La Fontaine, Jean de (Artist)",Blue from the Death Production.,SOUTHERNCV PS3552 .E517 D39 2005
Masters : book arts : major works by leading artists /,,"Lark Books,",2011.,330 p. : col. ill. ;,"Wallace, Eileen. Hale, Julie. Sweet, Beth.",,SOUTHERNCV N7433.3 .M39 2011
"SCAD/Klingspor : contemporary book art from the Klingspor Museum, University of the Arts, Braunschweig, and the Savannah College of Art and Design /",,"Savannah College of Art and Design,",2010.,85 p. : col. ill. ;,"Davies, Karen.",Savannah College of Art and Design.Klingspor-Museum Offenbach.Hochschule für Bildende Künste Braunschweig.,SOUTHCV-OV N7433.3 .S45 2010
The Penland book of handmade books : master classes in bookmaking techniques /,,"Lark Books,",c2004.,"229 p. : col. ill., col. ports. ;","LaFerla, Jane. Gunter, Veronika Alice.",Penland School of Crafts.Lark Books.,SOUTHCV-OV N7433.3 .P465 2004
God created the sea and painted it blue so we'd feel good on it /,"Ray, Michelle (Book artist)","[Michelle Ray],",2013.,"11 booklets (unpaged), 1 folded leaf : col. ill. ;",,Small Craft Advisory Press.,SOUTHERNCV N7433.4 .R387 G63 2013
American breeding standards /,"Knudson, Ellen.","Crooked Letter Press,",2012 [i.e. 2013].,[59] p. : col. ill. ;,"Dimon, John.",Crooked Letter Press.,SOUTHERNCV N7433.4 .K6258 A44 2013
A burlap bloom /,"McKnight, Eder J. Williams.","Down Home Girl Studio,",2013],[18] p. : col. ill. ;,"Sawyer, Suzanne.",Down Home Girl Studio.Cave Paper (Firm),SOUTHERNCV PS3613 .C56816 B87 2013
"Cane syrup : Lois Kiser & co., Pike Road, Ala. : Thanksgiving Day /","Gilder, Boo,","Boo Gilder,",[2011],16 unnumbered pages : illustrations ;,"Kiser, Lois,","Columbia College (Chicago, Ill.).",SOUTHERNCV N7433.4 .G553 C36 2011
Greed /,"Van Vliet, Claire,","Janus Press,",2013.,9 unnumbered pages (4 folded) : illustrations (some color) ;,"Hanche-Olsen, Eystein.",Janus Press.,SEVIER N7433.4 .V37 G74 2013
[Seasons].,"Schwartzott, Carol.","[Lilliput Press,",1995],4 v. : chiefly ill. (some col.) ;,"Loveman, Robert, 1864-1923. Mathias, Eileen. Elliott, F. Ann. Schwartzott, Carol Schwartzott, Carol Schwartzott, Carol Schwartzott, Carol",Lilliput Press.,SEVIER N7433.4 .S3595 S43 1995
O Sarah! /,"Burton, R. D. (Book artist)","R.D. Burton Books,",2011],1 v. (unpaged) : col. ill. ;,"Ballou, Sullivan, 1829-1861.",,SOUTHERNCV N7433.4 .B87 O17 2011
Mnemonics /,"Sharp, Sharon A.","Curious Pursuits Press,",c2013.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 M58 2013
[Dreams /,"Sharp, Sharon A.","Curious Pursuits Press],",c2006.,[6] leaves : all col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 D74 2006
Freehand /,"Sharp, Sharon A.","Curious Pursuits Press,",c2013.,[12] p. : ill. (some col.) ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 F744 2013
A real fighting man.,"Pirkle, Amy.","Perkolator Press,",2012],1 v. (unpaged) : ill. ;,"Pirkle, Lee.",Perkolator Press.,SOUTHERNCV N7433.4 .P544 R43 2012
The faded past : knowledge without power /,"Niederhausen, Hanne.","Hanne Niederhausen,",2009],[36] p. : col. ill. ;,,,SOUTHCV-OV N7433.4 .N54 F33 2009
[The box book] /,,"[VCUarts Bowe House Press],",[2012],3 unnumbered leaves : color illustrations ;,,Virginia Commonwealth University.VCUarts Bowe House Press.,SOUTHCV-OV N7433.35 .U6 B69 2012
[Into the woods /,"Sidelinger, Stephen J., 1947-","Stephen Sidelinger,",20--?],[53] leaves : col. ill. ;,,,SOUTHCV-OV N7433.4 .S53 I58 2000z
Long slow march /,"Meador, Clifton.","Center for Editions, Purchase College,",1996.,1 v. (unpaged) : ill. (some col.) ;,,Center for Editions.,SOUTHERNCV N7433.4 .M46 L66 1996
Palpung Parkhang /,"Meador, Clifton.","Clifton Meador,",2012.,"[22], 7 p. : chiefly ill. (some col.), map ;",,"Columbia College (Chicago, Ill.).",SOUTHERNCV N7433.4 .M46 P35 2012
Kandze village bodhisattva : nine iterations /,"Meador, Clifton.","Clifton Meador,",c2012.,"13, [36] p. : col. ill. ;",,"Columbia College (Chicago, Ill.).",SOUTHERNCV N7433.4 .M46 K36 2012
The mammoth legacy of Stephen Bishop.,"Sharp, Sharon A.","Curious Pursuits Press,",2012?],"[18] p. : ill., map, port. ;",,Curious Pursuits Press.,SOUTHERNCV F457 .M2 S52 2012
To sit with animals /,"Wehner, Mary,","Red Hydra Press,",2013,20 unnumbered pages : color illustrations ;,"Mendoza, Sigfredo, Miller, Steve, 1950-",Red Hydra Press,SOUTHERNCV PS3623 .E4227 T6 2013
Hatbox : a storm of stars /,"Tacq, Christine.","P's & Q's Press,",2011,14 p. : ill. (some col.) ;,,P's & Q's Press.,SEVIER N7433.4 .T37 H38 2011
Corpus Christi Carol /,,"[Christine Tacq?],",[1996].,8 unnumbered pages : color illustrations ;,"Tacq, Christine",,SEVIER PR1195 .C2 T33 1996
A talk with a wood /,"Patten, Brian, 1946-","Christine Tacq],",1997.,1 sheet (accordion folded into 12 p.) : col. ill. ;,"Tacq, Christine.",,SEVIER PR6066 .A86 T35 1997
"Everything changes : after Brecht, ""Alles wandelt sich"" /","Herbert, Cicely.","Christine Tacq],",1998.,8 p. : col. ill. ;,"Tacq, Christine.",,SEVIER PR6058 .E586 E94 1998
A book of months /,"Harrison, Michael, 1939-","Inky Parrot Press,",2004.,"[12] leaves, [12] plates : chiefly col. ill. ;","Cathcart, Anne. Abel, Phil.",Inky Parrot Press (1999-  )Hand & Eye Letterpress (Firm),SEVIER PR6108 .A783 B66 2004
Dream forest /,"LeQuire, Alan","BlueMarigold Press,",2012.,32 unnumbered pages : color illustrations ;,"Hulme, Susan G. Keeter, Jerry, Bell, Madison Smartt, Sherraden, Jim, Leech, Tom, Dixon, Dean Etherington, Don","BlueMarigold PressLarkspur Press,Press of the Palace of Governors,",SOUTHCV-OV N7433.4 .L47 D74 2012
Reparations /,"Douglas, Emory.","Imprint of the San Francisco Center for the Book,",2009.,1 sheet : col. ill. ;,"Alpers, Rhiannon. Bartalos, Michael. Ong, Lili.",San Francisco Center for the Book.,SOUTHERNCV N7433.4 .D68 R47 2009
"Experimenting with the book : the Janus Press : 14 September-27 November 1994, restaurant foyer, National Art Library, Victoria and Albert Museum.",,"Victoria and Albert Museum,",[1994],[16] p. ;,,National Art Library (Great Britain),SEVIER Z232 .J36 E974 1994
Los caminos de Don Carpio.,"Citlali,","[Citlali?],",2011.,52 pages : illustrations ;,,,SEVIER N7433.4 .C522 C36 2011
Skull drawings & bone songs : poems in response to the drawings /,"Burke, Clifford.","Desert Rose Press,",1995.,"41, [2] p. : ill. ;","Fine, Ruth, 1941- Van Vliet, Claire. Twombly, Carol, 1959- Burke, Clifford.",Desert Rose Press.,SEVIER PS3552 .U7224 S58 1995
Well-heeled /,"O'Callaghan, Julie, 1954-","Gefn Janus Unltd,","1998, c1985.",[14] p. : ill. ;,"Johanknecht, Susan. Van Vliet, Claire.",Gefn Press.Janus Press.Stinehour Press.,SEVIER PS3565 .C34 W45 1998 SEVIER PS3565 .C34 W45 1998
"Book art object 2 : second catalogue of the Codex Foundation biennial international book exhibition and symposium, Berkeley, 2011 /",,"Codex Foundation,",[2013],521 pages : illustrations (color) ;,"Jury, David, Koch, Peter Rutledge, Sandberg, Douglas,",,8TH-FL-ART N7433.3 .C63 2013 SOUTHCV-OV N7433.3 .C63 2013
"Gefn Press : catalogue raisonné, 1977-2007 /",,"Louisiana State University Libraries ;University of Vermont Libraries,",2007.,47 p. : ill. ;,"Olsen, Redell. Meynell, Katharine. Johanknecht, Susan.",Louisiana State University Library.University of Vermont.Gefn Press.,SEVIER Z232 .G43 G44 2007
"Volumes (of vulnerability) : touring exhibition opening at the Standpoint Gallery, London, 13 January - 20 February 2000 : venues include the Dean Clough Galleries, Halifax, UK ... [et al. /",,"Gefn Press,",c2000.,"23 items in metal box : ill., ports. ;","Johanknecht, Susan. Meynell, Katharine. Van Vliet, Claire.","Standpoint Gallery (London, England)Gefn Press.",SEVIER-OV N7433.3 .V65 2000
Aunt Sallie's lament /,"Kaufman, Margaret, 1941-","Janus Press,",c1988.,[12] leaves ;,"Van Vliet, Claire. Wray, Linda. Conant, Judi.",Janus Press.,SEVIER-OV PS3561 .A8612 A96 1988
Ode to a chestnut on the ground /,"Neruda, Pablo, 1904-1973","Verdigris,",2013.,17 unnumbered pages : illustrations ;,"Peden, Margaret Sayers, Rothchild, Judith, Lintott, Mark, Neruda, Pablo, 1904-1973.","Verdigris (Firm),",WITHDRAWN PQ8097.N4 O34 2013
El partido de José Marti /,"Rodríguez, Pedro Pablo, 1946-","Ediciones Vigía,",2013.,59 pages : illustrations ;,"Mederos, Gladys, Rodríguez, Jorge Luis, 1980- Milián Maura, Gjorge Michel",Ediciones Vigía.,SEVIER-OV N7433.4 .R636 P35 2013
Vivir-amar-vivir /,"Oliva, Teté C., 1952-","Ediciones Vigía,",2006.,140 p. : ill. ;,"Estévez Jordán, Rolando, 1950- Ponce, Agustina. Ación, Estela.","Ediciones Vigía,",SEVIER-OV N7433.4 .O45 V58 2006
Del trovador /,,"Ediciones Vigía,",[between 2006 and 2013?].,"4, 5 pages : illustrations (some color) ;","Rodríguez, Silvio, 1946- Casaus, Víctor, 1944- Ponce, Agustina, Valero, Elizabeth","Ediciones Vigía,",SEVIER-OV PQ7392 .R63 D45 2013
El de la Mancha no va al Paraíso /,"Milián, José, 1946-","Ediciones Vigía,",2013.,49 pages : illustrations (some color) ;,"Mederos, Gladys, Valdés, Frank David, Rojas, Guillermo (Printer),","Ediciones Vigía,",SEVIER-OV PQ7390 .M47 E4 2013
Bajo el cielo de Dublín /,"Cuesta, Mabel.","Ediciones Vigía,",2013.,21 pages : illustrations ;,"Estévez Jordán, Rolando, 1950- Mederos, Gladys,","Ediciones Vigía,",SEVIER-OV PQ7392 .C847 B34 2013
