title,author,publisher,date,format,contrib_personal,contrib_corporate,location
Our acreage ; Lux carnis /,"Viz, Anel.","Doppelganger Press,",2007.,"29, [22] p. : ill. ;","Thomson, Laura J. Viz, Anel.",Doppelganger Press.,SOUTHERNCV PS3622 .I9 O97 2007
Fibre libre /,,"Flatbed Splendor,",[2010],1 v. (unpaged) : col. ill. ;,"Elmer, Bridget. Bookwalter, Denise.",Flatbed Splendor (Firm)Small Craft Advisory Press.,SOUTHERNCV N7433.4 .F537 2010
We can go beyond it : an artist's book /,"Elmer, Bridget.","Flatbed Splendor,",2009.,1 v. (unpaged) : chiefly col. ill. ;,"Kyle, Hedi.",Flatbed Splendor (Firm),SOUTHERNCV N7433.4 .E46 W43 2009
Ghost towns of the Enchanted Circle /,"Poch, John, 1966-","Flying Horse Editions/H2O Graphics,",c2006.,"[21] p., [6] leaves of plates : col. ill. ;","Burkhart, Ryan. Cooper, Larry (Bookbinder)",Flying Horse Editions.H2O Graphics.,SOUTHERNCV PS3616 .O28 G49 2006
Lonely Tylenol /,"Mesmer, Sharon.","Flying Horse Editions/H20 Graphics, University of Central Florida,",2003.,1 v. (unpaged) : col. ill. ;,"Humphrey, David, 1955- Burkhart, Ryan. Cooper, Larry (Bookbinder)",Flying Horse Editions.H2O Graphics.,SOUTHCV-OV PS3563 .E74628 L66 2003
The myth of Sisyphus /,"Camus, Albert, 1913-1960.","Fulcrum Press,",2007.,[25] p. : ill. ;,"O'Brien, Justin, 1906-1968. Heidenheimer, Patricia Holburd.",Fulcrum Press.,SOUTHCV-OV PQ2605 .A3734 M913 2007
"Sonnets to Orpheus ; Orpheus, Eurydice, Hermes /","Rilke, Rainer Maria, 1875-1926.","Fulcrum Press,",2001.,[23] p. : col. ill. ;,"Rilke, Rainer Maria, 1875-1926. Heidenheimer, Patricia Holburd. Cummins, Maureen.",Fulcrum Press.,SOUTHCV-OV PT2635 .I65 S62513 2001
The hollow men : epitaph for the 20th century /,"Eliot, T. S. (Thomas Stearns), 1888-1965.","Fulcrum Press,",2000.,[39] p. : ill. ;,"Heidenheimer, Patricia Holburd. Cummins, Maureen. Bixler, Michael.",Fulcrum Press.,SOUTHCV-OV PS3509 .L43 H6 2000
{Friend} {to sea} and {soil} /,"Burkhart, Ryan.","H2O Graphics,",2004.,1 v. (unpaged) : chiefly col. ill. ;,"Cooper, Larry (Bookbinder)",H2O Graphics.,SOUTHERNCV N7433.4 .B866 F75 2004
"Dixie compass : short stories, prints, and photographs /","Francis, Ke.","Hoopsnake Press,",2004.,[43] p. : ill. (chiefly col.) ;,"Cooper, Larry (Bookbinder)",Hoopsnake Press.Gardyloo Handmade Books.,SOUTHCV-OV N7433.4 .F695 D59 2004
Celestial hitchhikers /,"Francis, Ke.","Hoopsnake Press,",[2005?],"1 v. (unpaged) : col. ill., col. maps, port. ;","Cooper, Larry (Bookbinder)",Hoopsnake Press.,SOUTHCV-OV N7433.4 .F695 C45 2005
Jugline : a fish tale and a portfolio of prints /,"Francis, Ke.","Hoopsnake Press,",1992.,"8, [1] p., ix p. of plates : ill. (some col..) ;","Cooper, Larry (Bookbinder)",Hoopsnake Press.,SOUTHCV-OV N7433.4 .F695 J84 1992
Chasing the sun /,"Hamrick, Frank, 1977-","[F. Hamrick],",c2010.,[13] p. : ill. ;,,,SOUTHERNCV N7433.4 .H3547 C47 2010
Ma'Cille's Museum of Miscellanea : an incomplete catalog of the collection /,"Peterson, Jessica.","Jessica Peterson,",2011],"78 p. : ill., map ;","House, Glenn.",,SOUTHERNCV AM101 .G625 P48 2011
Cause and effect /,"Peterson, Jessica.","J. Peterson],",2009.,"[30] p. (on double leaves) : facsims., folded map ;",,,SOUTHERNCV N7433.4 .P478 C38 2009
"Witness, 1956.","Peterson, Jessica.","Paper Souvenir,",2007.,8 p. ;,,,SOUTHERNCV N7433.4 .P478 W58 2007
Indivisible /,"Lazer, Hank.","University of Alabama ;Taller Experimental de Gráfica,",2011],[24] p. : ill. (some col.) ;,"Peña Peralta, Julio César. Rodríguez, Daniel Alberto. Schnepf, Michael A. (Michael Allen), 1951- Nevarez, Ally. Embree, Anna. Miller, Steve, 1950- Faulkenberry, Lauren, 1978- Harding, Kerri. Parkel, Sara.","University of Alabama.Taller Experimental de Gráfica (Havana, Cuba)University of Alabama.",SOUTHERNCV PS3562 .A984 I53 2011
Havana : a living city /,"Leal Spengler, Eusebio, 1942-","Parallel Editions,",2009.,[26] p. : ill. (some col.) ;,"Ramírez, Angel Manuel, 1954- Vargas, Maria. Embree, Anna. Miller, Steve, 1950- Griffin, Lark. Kerksieck, Friedrich. Peterson, Jessica. Tipps, Emily.","Parallel Editions.University of Alabama.Colegio Universitario San Gerónimo de La Habana.Havana (Cuba).Taller Experimental de Gráfica (Havana, Cuba)University of Alabama.",SOUTHCV-OV F1799 .H34 L435 2009
Design = Diseño /,"Collins, Billy.","Parallel Editions,",2005.,[43] p. : ill. ;,"Vargas, Maria. Moreno, Carlos Ayress. Embree, Anna. Miller, Steve, 1950-",Parallel Editions.University of Alabama.,SOUTHERNCV PS3553 .O47478 D47 2005
Vertigo /,"Pirkle, Amy.","Perkolator Press,",2011.,[12] p. : chiefly col. ill. ;,,Perkolator Press.,SOUTHERNCV N7433.4 .P544 V47 2011
Happiness : happiness is-- /,"Pirkle, Amy.","Perkolator Press,",2010.,[12] p. : col. ill. ;,,Perkolator Press.,SOUTHERNCV N7433.4 .P544 H37 2010
Sleep patterns /,"Pirkle, Amy.","Perkolator Press,",2009.,[32] p. : col. ill. ;,,Perkolator Press.,SOUTHERNCV N7433.4 .P544 S57 2009
When you are old /,"Yeats, W. B. (William Butler), 1865-1939.","Perkolator Press,",2006.,1 folded sheet : col. ill. ;,"Pirkle, Amy.",Perkolator Press.,SOUTHERNCV PR5904 .W38 2006
Gravity's light grip /,"Johnston, Gordon, 1967-","Perkolator Press,",2007.,1 folded sheet : col. ill. ;,"Pirkle, Amy.",Perkolator Press.,SOUTHERNCV PS3610 .O386 G73 2007
The river /,"Pirkle, Amy.","Perkolator Press,",2010.,[16] p. : chiefly col. ill. ;,,Perkolator Press.,SOUTHERNCV N7433.4 .P544 R58 2010
Daily bread /,"Pirkle, Amy.","Perkolator Press,",2006.,[16] p. : col. ill. ;,,Perkolator Press.,SOUTHERNCV N7433.4 .P544 D35 2006
Smoke /,"Pirkle, Amy.","Perkolator Press,",[2008],1 box (8 rolled sheets) ;,,Perkolator Press.,SOUTHERNCV N7433.4 .P544 S66 2008
Close to home /,"Hall, Bill (Artist)","Combo Press,",2011.,[23] p. : ill. (some col.) ;,"Pirkle, Amy. Hughes, Sara Pirkle.",Combo Press.,SOUTHERNCV N7433.4 .H345 C587 2011
Heart of all greatness /,"Mitcham, Judson.","Perkolator Press,",2006.,1 folded sheet : col. ill. ;,"Pirkle, Amy. Mitcham, Judson.",Perkolator Press.,SOUTHERNCV PS3563 .I7356 H43 2006
Splinter of light /,"Collins, Billy.","Perkolator Press,",2006.,1 folded sheet : col. ill. ;,"Pirkle, Amy.",Perkolator Press.,SOUTHERNCV PS3553 .O47478 S65 2006
Ideas of god : a ceaseless wandering pa-limp-sest bōk : an opuscule of tiny mirrors seeking a single grand image.,"Laxson, Ruth.","Press 63 Plus],",c2008.,[37] p. : ill. ;,,Press 63+,SOUTHCV-OV N7433.4 .L39 I34 2008
A hundred years of-- LEX FLEX /,"Laxson, Ruth.","Nexus Press,",c2003.,[52] p. : ill. (some col.) ;,"Freeman, Brad, 1951-",Nexus Press.,SOUTHCV-OV N7433.4 .L39 H86 2003
"Mythos, chronos, logos /","Laxson, Ruth.","Press 63 Plus,",c2000.,[43] p. : ill. ;,,Press 63+.,SOUTHERNCV N7433.4 .L39 M98 2000
Muse measures /,"Laxson, Ruth.","Press 63 plus,",c1999.,[53] p. : ill. ;,,Press 63+,SOUTHERNCV N7433.4 .L39 M87 1999
Wheeling /,"Laxson, Ruth.","Press 63 Plus,",c1992.,[38] p. : ill. ;,,Press 63+,SOUTHERNCV N7433.4 .L39 W477 1992
Cradle of civilization /,"Peven, Michael.","Primitive Press,","2011, c1993.",1 sheet : col. ill. ;,"Sunzi, active 6th century B.C.",,SOUTHERNCV N7433.4 .P485 C73 2011
Slugs and roses : an essay on beauty and survival /,"Peven, Michael.","Primitive Press,","2007/08, c2000.",[50] p. : col. ill. ;,,Primitive Press.,SOUTHERNCV N7433.4 .P485 S59 2008
Open-- heart surgery /,"Peven, Michael.","Primitive Press,",2006.,1 v. (unpaged) : chiefly col. ill. ;,,Primitive Press.,SOUTHERNCV N7433.4 .P485 O64 2006 SOUTHERNCV N7433.4 .P485 O64 2006
Scenes from the trip so far : a souvenir album of drive by shootings taken during travels throughout the United States of America in 2001 and 2003 : in colour! /,"Peven, Michael.","Primitive Press,",c2004.,1 sheet : col. ill. ;,,Primitive Press.,SOUTHERNCV N7433.4 .P485 S28 2004
Manmade wonders /,"Peven, Michael.","M. Peven],",c1979.,6 v. : chiefly ill. (col.) ;,,,SOUTHERNCV N7433.4 .P485 M36 1979
--or the opposite /,"Wehner, Mary.","Red Hydra Press,",2007.,[36] p. : ill. ;,"Marshall, Jane. Miller, Steve, 1950-",Red Hydra Press.Büttenpapierfabrik Hahnemühle.Penland School of Crafts.,SOUTHERNCV PS3623 .E4227 O7 2007
The dogs of Havana = Los perros de La Habana /,"Collum, Cade.","Red Hydra Press,",2008.,[24] p. (first [2] p. and last p. blank) : col. ill. (linocuts) ;,"Peña Peralta, Julio César. Miller, Steve, 1950- Vargas, Maria.",Red Hydra Press.Papierfabrik Zerkall Renker & Söhne.Penland School of Crafts.,SOUTHERNCV PS3603 .O4567 D64 2008
Skin /,"Kaplan, Dan, 1971-","Red Hydra Press,",[2005].,12 unnumbered pages : illustrations ;,"Kaplan, Dan, 1971- Kaplan, Dan, 1971- Peña Peralta, Julio César, Vargas, Maria, Miller, Steve, 1950- Embree, Anna.",Red Hydra Press.,SOUTHERNCV PS3611 .A648 S55 2005
The flea market in Kiel /,"Warsh, Lewis.","The Rest P[ress],",c2006.,[23] p. ;,"Masterson, Patrick, M.F.A.",Rest Press (Firm),SOUTHERNCV PS3573 .A782 F57 2006
[On the winds].,"Small, Amanda.","Amanda Small?,",2007],6 strips of paper : ill. ;,,,SOUTHERNCV N7433.4 .S63 O5 2007
Binder /,"Merola, Kristen.","Small Craft Advisory Press at Florida State University,",2010],[26] p. : ill. ;,"Shaw, Tate.",Small Craft Advisory Press.,SOUTHERNCV N7433.4 .M476 B56 2010
Days have gone by /,"Frazer, Colin.","Colin Frazer,",2010],1 v. (unpaged) ; col. ill. ;,,Small Craft Advisory Press.,SOUTHERNCV N7433.4 .F739 D39 2010
Spandrel /,"Bookwalter, Denise.","Small Craft Advisory Press,",2011.,1 v. (unpaged) ;,"Giampietro, Frank, 1969-",,SOUTHCV-OV N7433.4 .B66 S63 2011
